variant,base_sequence,object_id,episode,frames,auc_percent,b1_auc_percent,failure_1cm_percent,failure_2cm_percent,both_candidates_bad_percent,ordinary_policy_ms,quality_diagnostic_ms,recovery_transition_ms,sam2_cache_hits
no_recovery_admission,sugar_box_yalehand0,004_sugar_box,sugar_box_yalehand0_drop60,1002,2.9478080875286468,2.9485073896251546,99.9001996007984,99.60079840319361,99.9001996007984,12.681080492681819,11.742119642045207,,0
no_recovery_admission,sugar_box1,004_sugar_box,sugar_box1_clean,907,90.99192908454211,90.99049435322863,17.420066152149946,4.410143329658213,15.325248070562294,13.083175835102107,12.196735034839485,,0
no_recovery_admission,sugar_box1,004_sugar_box,sugar_box1_black10,907,10.872283529394885,10.059342694403334,88.86438809261301,88.75413450937155,88.75413450937155,12.737656713753248,11.717372582640085,59594.858170021325,0
no_recovery_admission,sugar_box1,004_sugar_box,sugar_box1_black10_2,907,86.41237709594932,86.28843838325648,66.81367144432194,23.373759647188532,65.9316427783903,12.664450132072169,11.755197076897046,89760.23391121998,0
no_recovery_admission,sugar_box1,004_sugar_box,sugar_box1_black10_3,907,36.10942806091649,35.8187294240216,62.40352811466373,62.40352811466373,62.29327453142227,12.72765150659658,11.661209240494154,105098.66337105632,0
no_recovery_admission,sugar_box1,004_sugar_box,sugar_box1_black10_4,907,53.20160292596896,52.695197954293874,44.65270121278942,44.65270121278942,44.65270121278942,12.005013122817473,11.143665322304889,132468.58022594824,0
no_recovery_admission,sugar_box1,004_sugar_box,sugar_box1_black10_5,907,64.59833593240431,64.49486973191495,33.51708930540242,32.96582138919515,33.51708930540242,11.952550835582628,11.113718774810417,119700.03290101886,0
no_recovery_admission,sugar_box1,004_sugar_box,sugar_box1_occ40,907,90.1891969146655,90.21778117698733,18.853362734288865,4.5203969128996695,17.089305402425577,12.656687377400639,11.757894684052323,,0
no_recovery_admission,sugar_box1,004_sugar_box,sugar_box1_occ60,907,13.174806559591566,13.158362331460456,88.75413450937155,88.20286659316427,88.75413450937155,13.530254198182805,12.253743494720155,,0
no_recovery_admission,sugar_box1,004_sugar_box,sugar_box1_drop60,907,20.51158104079824,20.515333415002655,86.99007717750827,77.61852260198457,84.12348401323044,12.609605001780597,11.650714217228229,,0
no_recovery_admission,tomato_soup_can_yalehand0,005_tomato_soup_can,tomato_soup_can_yalehand0_clean,1308,96.8692698815023,96.87937172646653,0.0,0.0,0.0,12.05484512146699,11.178541114334507,,0
no_recovery_admission,tomato_soup_can_yalehand0,005_tomato_soup_can,tomato_soup_can_yalehand0_black10,1308,7.6130029111680475,7.082273404903374,92.2782874617737,92.20183486238533,92.20183486238533,11.964709169852,11.03522673545445,57477.45497617871,0
no_recovery_admission,tomato_soup_can_yalehand0,005_tomato_soup_can,tomato_soup_can_yalehand0_black10_2,1308,19.50509377879408,18.9933434964016,80.04587155963303,80.04587155963303,79.96941896024465,12.477303592184617,11.479832665262807,84947.5030079484,0
no_recovery_admission,tomato_soup_can_yalehand0,005_tomato_soup_can,tomato_soup_can_yalehand0_black10_3,1308,25.26502037205401,24.75372926443263,74.15902140672783,73.92966360856269,74.15902140672783,12.280961959291458,11.35237396670511,97792.3810519278,0
no_recovery_admission,tomato_soup_can_yalehand0,005_tomato_soup_can,tomato_soup_can_yalehand0_black10_4,1308,37.418802594643566,36.84919629109232,61.69724770642202,61.62079510703364,61.62079510703364,12.121431317177544,11.146596831195511,131003.00396187232,0
no_recovery_admission,tomato_soup_can_yalehand0,005_tomato_soup_can,tomato_soup_can_yalehand0_black10_5,1308,45.575583228488426,45.079636211134684,53.28746177370031,53.21100917431193,53.21100917431193,11.932566232534658,10.98483184242866,147916.78541107103,0
no_recovery_admission,tomato_soup_can_yalehand0,005_tomato_soup_can,tomato_soup_can_yalehand0_occ40,1308,96.83728070578223,96.84745907987498,0.0,0.0,0.0,11.579173215485493,10.728807853241465,,0
no_recovery_admission,tomato_soup_can_yalehand0,005_tomato_soup_can,tomato_soup_can_yalehand0_occ60,1308,17.530144823722807,17.53542533359047,90.90214067278288,89.98470948012233,90.90214067278288,12.43140921281474,11.39142243825298,,0
no_recovery_admission,tomato_soup_can_yalehand0,005_tomato_soup_can,tomato_soup_can_yalehand0_drop60,1308,0.8481723313527595,0.8465652196539047,99.61773700305811,99.46483180428135,99.61773700305811,12.5872469478677,11.483506148250985,,0
