Metric,Value,variant,base_sequence,source_variant,source_run
prior_advantage_margin_cm,0.1,full,sugar_box1,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Shared error MAE_obs_cm,7.383669920661735,full,tomato_soup_can_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Shared error MedianAE_obs_cm,0.2477770041862264,full,tomato_soup_can_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Shared error Spearman_obs,0.1827154659229006,full,tomato_soup_can_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
AUROC_obs_abs_risk,0.5383475766133824,full,tomato_soup_can_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
AUPRC_obs_abs_risk,0.3973434837917642,full,tomato_soup_can_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Brier_obs_abs_risk,0.239211126959357,full,tomato_soup_can_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
ECE_obs_abs_risk,0.2366164825724234,full,tomato_soup_can_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Shared error MAE_prior_cm,7.277135569769547,full,tomato_soup_can_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Shared error MedianAE_prior_cm,0.2401892928081173,full,tomato_soup_can_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
Shared error Spearman_prior,0.1862965725699867,full,tomato_soup_can_yalehand0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
