variant,base_sequence,object_id,episode,frames,auc_percent,b1_auc_percent,failure_1cm_percent,failure_2cm_percent,both_candidates_bad_percent,ordinary_policy_ms,measured_cached_path_ms,runtime_scope,observer_ms,observer_restarts,relocalization_calls,relocalization_generated,relocalization_used,relocalization_total_ms,uncertain_percent,quality_diagnostic_ms,recovery_transition_ms,sam2_cache_hits,source_variant,source_run
full,cracker_box_yalehand0,003_cracker_box,cracker_box_yalehand0_black10,1327,92.48732530571266,0.4040212028154755,10.474755086661643,2.260738507912585,18.5380557648832,70.18975599709412,1582.9378761170035,cached_masks_excludes_sam2_preprocessing_not_online_fps,56.670893145094894,794,820,793,793,1989859.3543516472,2.7882441597588548,21.62272638354251,2470.604787580669,1,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
full,cracker_box_yalehand0,003_cracker_box,cracker_box_yalehand0_black10_2,1327,92.5340185701904,0.3918387113564204,10.550113036925396,2.260738507912585,19.819140919366998,74.19274231845823,1642.0388045786026,cached_masks_excludes_sam2_preprocessing_not_online_fps,58.4863982238465,820,846,819,819,2064897.5624078885,2.7882441597588548,22.0354954622961,2479.5842906460166,1,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
full,cracker_box_yalehand0,003_cracker_box,cracker_box_yalehand0_black10_3,1327,92.06942436030604,0.3888968093941718,14.544084400904294,3.617181612660136,19.21627731725697,71.88699134163183,1502.665479231651,cached_masks_excludes_sam2_preprocessing_not_online_fps,59.28511032939923,744,770,743,743,1878124.8549614104,2.7882441597588548,22.287092263548555,2508.5978657007217,1,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
full,cracker_box_yalehand0,003_cracker_box,cracker_box_yalehand0_black10_4,1327,92.56336215642924,0.38836877570864,10.173323285606632,2.3360964581763377,15.900527505651846,73.46477563083737,1553.746512810999,cached_masks_excludes_sam2_preprocessing_not_online_fps,58.58247880434397,772,798,771,771,1947300.8666792884,2.7882441597588548,22.25062384999329,2517.992192879319,1,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
full,cracker_box_yalehand0,003_cracker_box,cracker_box_yalehand0_black10_5,1327,92.42396126344885,0.3953840803878483,12.584777694046725,2.260738507912585,19.36699321778448,72.48021649462837,1559.1702815945334,cached_masks_excludes_sam2_preprocessing_not_online_fps,57.70777703347787,774,801,774,774,1955723.364540376,2.863602110022608,22.26832676777152,2476.861333474517,1,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
full,cracker_box_yalehand0,003_cracker_box,cracker_box_yalehand0_occ40,1327,92.41611619154952,0.3927439119601892,9.118311981914092,2.3360964581763377,15.900527505651846,74.35818735660214,1519.4031328535566,cached_masks_excludes_sam2_preprocessing_not_online_fps,58.53488315781122,754,781,754,754,1904024.0573724727,2.0346646571213265,22.221000228545996,,0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
full,cracker_box_yalehand0,003_cracker_box,cracker_box_yalehand0_occ60,1327,90.3693821930446,0.3888213760105244,13.63978899773926,5.5764883195177095,20.497362471740768,71.70591897013762,1533.7736899301285,cached_masks_excludes_sam2_preprocessing_not_online_fps,56.976389234637125,766,793,766,766,1926569.9996380133,2.0346646571213265,21.7101353718236,,0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
full,cracker_box_yalehand0,003_cracker_box,cracker_box_yalehand0_drop60,1327,92.72429928044096,0.3890099594696429,5.04898266767144,2.3360964581763377,6.40542577241899,75.4687729378682,1878.3737753567757,cached_masks_excludes_sam2_preprocessing_not_online_fps,58.60185779395324,946,974,946,946,2381212.038932368,2.110022607385079,22.02481919858877,,0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
full,sugar_box_yalehand0,004_sugar_box,sugar_box_yalehand0_clean,1002,93.493593393793,91.22146098194,17.56487025948104,0.7984031936127743,16.666666666666664,82.85520963922694,113.13438335500524,cached_masks_excludes_sam2_preprocessing_not_online_fps,58.28265912789933,3,3,3,3,30413.767229765654,0.0,21.222396301079595,,0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
full,sugar_box_yalehand0,004_sugar_box,sugar_box_yalehand0_black10,1002,93.0564296831762,11.605417793042545,15.868263473053892,3.1936127744510974,15.06986027944112,79.01026854999625,114.27035741229167,cached_masks_excludes_sam2_preprocessing_not_online_fps,54.34154173054411,5,4,4,4,32957.860126160085,0.998003992015968,20.731930377448865,2468.66380609572,1,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
full,sugar_box_yalehand0,004_sugar_box,sugar_box_yalehand0_black10_2,1002,93.45203486920056,20.41117964271657,17.365269461077844,1.596806387225549,16.86626746506986,79.77736698191067,112.82588742085976,cached_masks_excludes_sam2_preprocessing_not_online_fps,54.395625265519655,4,3,3,3,30721.90273087472,0.998003992015968,20.826141426187316,2475.329961627722,1,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
full,sugar_box_yalehand0,004_sugar_box,sugar_box_yalehand0_black10_3,1002,93.48829867791945,28.15020609431787,17.56487025948104,0.3992015968063871,16.766467065868262,78.96621733482084,112.03488219388112,cached_masks_excludes_sam2_preprocessing_not_online_fps,54.56634696309052,4,3,3,3,30730.71912955493,0.998003992015968,20.084726173400934,2496.903417631984,1,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
full,sugar_box_yalehand0,004_sugar_box,sugar_box_yalehand0_black10_4,1002,93.47291403179626,43.49079618540696,17.56487025948104,1.1976047904191618,16.766467065868262,79.86318996411288,113.06408774888445,cached_masks_excludes_sam2_preprocessing_not_online_fps,54.439828460645714,4,3,3,3,30893.95186677575,0.998003992015968,21.074247356883426,2478.7796875461936,1,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
full,sugar_box_yalehand0,004_sugar_box,sugar_box_yalehand0_black10_5,1002,93.47940755126383,53.79965794137451,17.964071856287426,0.1996007984031935,17.26546906187625,76.70716639563352,112.0518212812672,cached_masks_excludes_sam2_preprocessing_not_online_fps,54.84557901499812,4,3,3,3,33023.69528170675,0.998003992015968,17.754255849756525,2473.237960599363,1,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
full,sugar_box_yalehand0,004_sugar_box,sugar_box_yalehand0_occ40,1002,89.63399527271783,8.342524160887434,21.057884231536928,6.58682634730539,20.459081836327343,81.52150022431265,315.4018797629147,cached_masks_excludes_sam2_preprocessing_not_online_fps,55.88642536511946,86,86,86,86,234986.73584125936,0.0,20.978724116463205,,0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
full,sugar_box_yalehand0,004_sugar_box,sugar_box_yalehand0_occ60,1002,74.0531449613286,8.083083083083084,42.71457085828344,33.63273453093812,42.21556886227545,81.82594900634331,411.8474897344833,cached_masks_excludes_sam2_preprocessing_not_online_fps,55.52929513037443,125,125,125,125,331418.2145986706,0.0,20.896511684039872,,0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
full,sugar_box_yalehand0,004_sugar_box,sugar_box_yalehand0_drop60,1002,91.40243037448629,2.9485073896251546,23.35329341317365,4.291417165668663,28.043912175648707,71.68789837761956,826.2711594321815,cached_masks_excludes_sam2_preprocessing_not_online_fps,57.66518624265216,294,294,294,294,745011.3012976944,0.0,21.542360089689552,,0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
full,sugar_box1,004_sugar_box,sugar_box1_clean,907,94.02329562197258,90.99049435322864,14.553472987872109,0.6615214994487321,12.348401323042998,31.10004247076792,206.38718926517217,cached_masks_excludes_sam2_preprocessing_not_online_fps,18.993271256015607,53,53,53,53,156859.79957412928,0.0,11.571226795558236,,0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
full,sugar_box1,004_sugar_box,sugar_box1_black10,907,94.10662040210002,10.059342694403334,14.332965821389196,0.4410143329658214,11.686879823594266,77.71236977084111,251.22128685786416,cached_masks_excludes_sam2_preprocessing_not_online_fps,53.378071264253954,53,52,52,52,128822.69026245922,1.102535832414553,19.799991711037688,28905.588977970183,1,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
full,sugar_box1,004_sugar_box,sugar_box1_black10_2,907,93.89152106902934,86.28843838325648,16.09702315325248,0.7717750826901874,13.671444321940465,68.75345916110598,244.89700581258228,cached_masks_excludes_sam2_preprocessing_not_online_fps,47.30101650767645,53,53,53,53,131250.01399684697,1.2127894156560088,18.158883144904458,28402.32501085848,1,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
full,sugar_box1,004_sugar_box,sugar_box1_black10_3,907,94.02682726828262,35.8187294240216,14.553472987872109,0.6615214994487321,12.679162072767364,68.56082916447559,246.7642385202492,cached_masks_excludes_sam2_preprocessing_not_online_fps,46.750291059658245,54,53,53,53,131592.8413728252,1.102535832414553,17.49631060983538,29898.53756967932,1,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
full,sugar_box1,004_sugar_box,sugar_box1_black10_4,907,78.07620189097587,52.695197954293874,40.242557883131205,30.209481808158767,40.13230429988975,15.382169580552729,20.535919179702475,cached_masks_excludes_sam2_preprocessing_not_online_fps,0.0,0,106,0,0,4850.324626080692,12.899669239250274,12.113002367120528,27.74332370609045,1,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
full,sugar_box1,004_sugar_box,sugar_box1_black10_5,907,65.36862110180743,64.49486973191495,33.73759647188533,33.18632855567806,33.62734288864388,14.166532777528907,28.263542861723916,cached_masks_excludes_sam2_preprocessing_not_online_fps,0.0,0,292,0,0,13072.3168682307,33.40683572216097,11.089687175071226,38.04507665336132,1,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
full,sugar_box1,004_sugar_box,sugar_box1_occ40,907,93.2592460155856,90.21778117698732,15.87651598676957,0.4410143329658214,13.891951488423372,14.452317800394624,201.6604876724845,cached_masks_excludes_sam2_preprocessing_not_online_fps,16.369706944920853,52,52,52,52,155071.06622681022,0.0,11.503734765522996,,0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
full,sugar_box1,004_sugar_box,sugar_box1_occ60,907,19.23715336063738,13.158362331460456,81.91841234840133,80.92613009922822,82.2491730981257,81.62656675692408,164.48398209212897,cached_masks_excludes_sam2_preprocessing_not_online_fps,56.48803085811608,20,20,20,20,75416.50675050914,0.0,19.55256703008857,,0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
full,sugar_box1,004_sugar_box,sugar_box1_drop60,907,92.80002163133366,20.51533341500265,17.5303197353914,0.7717750826901874,24.476295479603085,91.33001946951674,766.9113214520991,cached_masks_excludes_sam2_preprocessing_not_online_fps,61.21287874203861,240,240,240,240,617561.7972752079,0.0,20.85236236740565,,0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
full,tomato_soup_can_yalehand0,005_tomato_soup_can,tomato_soup_can_yalehand0_clean,1308,96.86483119204831,96.87937172646652,0.0,0.0,0.0,13.88749523965545,13.88749523965545,cached_masks_excludes_sam2_preprocessing_not_online_fps,0.0,0,0,0,0,0.0,0.0,10.93509988090314,,0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
full,tomato_soup_can_yalehand0,005_tomato_soup_can,tomato_soup_can_yalehand0_black10,1308,90.76515353273764,7.082273404903374,6.498470948012232,6.422018348623854,6.269113149847094,72.9679894465297,95.89622328015164,cached_masks_excludes_sam2_preprocessing_not_online_fps,49.19061513933772,1,1,1,1,2345.409318804741,0.8409785932721712,19.28237076088308,27754.87596075982,1,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
full,tomato_soup_can_yalehand0,005_tomato_soup_can,tomato_soup_can_yalehand0_black10_2,1308,86.60219852880402,18.9933434964016,10.703363914373089,10.703363914373089,10.703363914373089,63.16888710886103,85.95170704961187,cached_masks_excludes_sam2_preprocessing_not_online_fps,40.84260317508348,1,1,1,1,2374.419935978949,0.8409785932721712,17.873409695479026,27511.49439252913,1,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
full,tomato_soup_can_yalehand0,005_tomato_soup_can,tomato_soup_can_yalehand0_black10_3,1308,77.98708494427149,24.75372926443263,19.571865443425075,19.26605504587156,19.495412844036696,56.40474714447172,80.15312951639157,cached_masks_excludes_sam2_preprocessing_not_online_fps,35.19878197897123,1,1,1,1,2390.589889138937,0.8409785932721712,17.506413692209744,28741.54449161142,1,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
full,tomato_soup_can_yalehand0,005_tomato_soup_can,tomato_soup_can_yalehand0_black10_4,1308,96.85733133745366,36.84919629109232,0.0,0.0,0.0,58.93359407241005,80.08979696820316,cached_masks_excludes_sam2_preprocessing_not_online_fps,38.83577306649508,1,0,0,0,0.0,0.764525993883792,16.02560603301915,27715.26708547026,1,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
full,tomato_soup_can_yalehand0,005_tomato_soup_can,tomato_soup_can_yalehand0_black10_5,1308,96.57425009106966,45.07963621113469,2.522935779816514,0.0,2.599388379204893,51.58262032727393,74.7334382771614,cached_masks_excludes_sam2_preprocessing_not_online_fps,31.72863494114956,1,1,1,1,2373.334421776235,0.8409785932721712,15.900530873738024,27977.92972717434,1,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
full,tomato_soup_can_yalehand0,005_tomato_soup_can,tomato_soup_can_yalehand0_occ40,1308,96.83597971059746,96.84745907987498,0.0,0.0,0.0,13.727602066859513,13.727602066859513,cached_masks_excludes_sam2_preprocessing_not_online_fps,0.0,0,0,0,0,0.0,0.0,10.7671527522374,,0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
full,tomato_soup_can_yalehand0,005_tomato_soup_can,tomato_soup_can_yalehand0_occ60,1308,17.527466304224713,17.53542533359047,91.13149847094802,90.06116207951071,90.90214067278288,20.545939044081337,20.545939044081337,cached_masks_excludes_sam2_preprocessing_not_online_fps,0.0,0,0,0,0,0.0,0.0,16.122477039387192,,0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
full,tomato_soup_can_yalehand0,005_tomato_soup_can,tomato_soup_can_yalehand0_drop60,1308,5.072848077435234,0.8465652196539047,97.70642201834865,96.3302752293578,97.32415902140671,79.02582867285953,112.4727354535907,cached_masks_excludes_sam2_preprocessing_not_online_fps,54.153862350195965,8,8,8,8,43883.72749648988,0.0,19.788951035560498,,0,full,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
no_quality,cracker_box_reorient,003_cracker_box,cracker_box_reorient_clean,375,78.66986986986986,53.83076409743076,32.266666666666666,24.266666666666666,37.86666666666667,22.35940894073755,345.5994993771116,cached_masks_excludes_sam2_preprocessing_not_online_fps,55.37441881249348,34,34,34,34,107381.26846961676,31.73333333333333,17.581434480845928,,0,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
no_quality,cracker_box_reorient,003_cracker_box,cracker_box_reorient_black10,375,81.34788121454787,53.43890557223891,27.73333333333333,19.73333333333333,36.53333333333333,75.20318110896783,434.8837978765369,cached_masks_excludes_sam2_preprocessing_not_online_fps,68.37291931609313,45,44,44,44,108892.69558992235,31.2,19.11260575304429,27103.188790380955,1,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
no_quality,cracker_box_reorient,003_cracker_box,cracker_box_reorient_black10_2,375,86.04671338004671,53.82515849182517,24.266666666666666,15.466666666666669,33.6,57.78005475718758,462.7236496657133,cached_masks_excludes_sam2_preprocessing_not_online_fps,52.98000460118055,51,50,50,50,149781.81752376258,25.333333333333336,15.65038113296032,2483.9795967563987,1,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
no_quality,cracker_box_reorient,003_cracker_box,cracker_box_reorient_black10_3,375,73.55462128795463,53.43890557223891,35.2,27.46666666666667,39.46666666666667,71.32299835591212,331.98683774471283,cached_masks_excludes_sam2_preprocessing_not_online_fps,65.82421106596787,30,29,29,29,71969.56822648644,35.46666666666667,17.744631787141163,26323.56709335,1,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
no_quality,cracker_box_reorient,003_cracker_box,cracker_box_reorient_black10_4,375,79.28221554888222,46.85845845845846,34.4,26.4,41.333333333333336,65.73016603460766,375.7633238062263,cached_masks_excludes_sam2_preprocessing_not_online_fps,60.35732748111089,37,36,36,36,89431.01693782955,33.06666666666666,16.896639672418434,27431.00713379681,1,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
no_quality,cracker_box_reorient,003_cracker_box,cracker_box_reorient_black10_5,375,71.91364698031364,53.8296963630297,36.0,29.06666666666667,40.0,54.48585238980188,293.3358123327295,cached_masks_excludes_sam2_preprocessing_not_online_fps,50.52479596436024,26,25,25,25,87198.430522345,34.13333333333333,15.589966970185438,2538.390759378672,1,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
no_quality,cracker_box_reorient,003_cracker_box,cracker_box_reorient_occ40,375,92.91171171171172,54.00613947280614,14.933333333333335,4.533333333333333,23.73333333333333,17.197204402134734,654.3909361958504,cached_masks_excludes_sam2_preprocessing_not_online_fps,51.37345056980848,81,81,81,81,224897.75094669312,15.733333333333333,15.803464199105898,,0,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
no_quality,cracker_box_reorient,003_cracker_box,cracker_box_reorient_occ60,375,89.8736069402736,50.00960960960961,25.333333333333336,9.066666666666666,33.06666666666666,28.98036683909595,1161.562601732711,cached_masks_excludes_sam2_preprocessing_not_online_fps,71.55839458853006,155,155,155,155,407486.1197806895,20.266666666666666,19.12277919302384,,0,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
no_quality,cracker_box_reorient,003_cracker_box,cracker_box_reorient_drop60,375,89.91618284951619,13.054788121454788,32.53333333333333,10.4,48.266666666666666,51.80316107106154,1213.7335950657723,cached_masks_excludes_sam2_preprocessing_not_online_fps,86.56618246187766,159,159,159,159,421183.681239374,32.800000000000004,21.43081197887659,,0,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
no_quality,cracker_box_yalehand0,003_cracker_box,cracker_box_yalehand0_clean,1327,71.6893985168288,0.3898020099979405,41.59758854559156,32.177844762622456,48.60587792012057,55.02167741973025,1533.446552811616,cached_masks_excludes_sam2_preprocessing_not_online_fps,59.48246199954877,782,809,782,782,1951376.843542792,35.79502637528259,21.612912145553448,,0,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
no_quality,cracker_box_yalehand0,003_cracker_box,cracker_box_yalehand0_black10,1327,74.32737937636205,0.4040212028154755,39.939713639789,28.48530519969857,49.133383571966846,50.2255838530013,1563.475852660251,cached_masks_excludes_sam2_preprocessing_not_online_fps,56.39413504818484,794,820,793,793,1993043.778997846,33.60964581763376,21.13163800799227,2485.887308605016,1,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
no_quality,cracker_box_yalehand0,003_cracker_box,cracker_box_yalehand0_black10_2,1327,77.45054775951536,0.3918387113564204,37.75433308214017,24.868123587038436,48.75659382064808,50.48299235252974,1611.2539699124263,cached_masks_excludes_sam2_preprocessing_not_online_fps,57.08617757944097,820,846,819,819,2055586.8338039145,30.36925395629239,21.03647348325708,2480.670541524887,1,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
no_quality,cracker_box_yalehand0,003_cracker_box,cracker_box_yalehand0_black10_3,1327,66.20260049046786,0.3888968093941718,44.00904295403165,35.71966842501884,49.88696307460437,49.79615884819638,1470.5677398416608,cached_masks_excludes_sam2_preprocessing_not_online_fps,56.957563943318746,744,770,743,743,1868651.1690374464,38.58327053504145,21.540695675750516,2494.927085004747,1,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
no_quality,cracker_box_yalehand0,003_cracker_box,cracker_box_yalehand0_black10_4,1327,71.58171736167215,0.38836877570864,41.522230595327805,32.02712886209495,48.75659382064808,49.99526139969627,1525.2457893079466,cached_masks_excludes_sam2_preprocessing_not_online_fps,57.54427481779566,772,798,771,771,1940468.1585999208,36.32253202712887,21.564987481072738,2507.149912416935,1,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
no_quality,cracker_box_yalehand0,003_cracker_box,cracker_box_yalehand0_black10_5,1327,70.64517418699785,0.3953840803878483,42.27581009796533,32.629992464204975,49.28409947249435,49.9620375285546,1527.496337355132,cached_masks_excludes_sam2_preprocessing_not_online_fps,57.24273476056255,774,801,774,774,1944068.1390315292,35.26752072343633,20.891199951686847,2539.1438817605376,1,simple,/root/autodl-tmp/se3TrackNet-B5-reproduction/all_runs/run_20260917T094822Z_236992_24438/03_full_simple
